Month,ERP_Australia
1981-06-01,14923.3
1981-09-01,14988.7
1981-12-01,15054.1
1982-03-01,15121.7
1982-06-01,15184.2
1982-09-01,15239.3
1982-12-01,15288.9
1983-03-01,15346.2
1983-06-01,15393.5
1983-09-01,15439.0
1983-12-01,15483.5
1984-03-01,15531.5
1984-06-01,15579.4
1984-09-01,15628.5
1984-12-01,15677.3
1985-03-01,15736.7
1985-06-01,15788.3
1985-09-01,15839.7
1985-12-01,15900.6
1986-03-01,15961.5
1986-06-01,16018.4
1986-09-01,16075.0
1986-12-01,16138.8
1987-03-01,16204.0
1987-06-01,16263.9
1987-09-01,16328.9
1987-12-01,16394.6
1988-03-01,16471.8
1988-06-01,16532.2
1988-09-01,16612.6
1988-12-01,16687.1
1989-03-01,16764.0
1989-06-01,16814.4
1989-09-01,16872.0
1989-12-01,16936.7
1990-03-01,17005.6
1990-06-01,17065.1
1990-09-01,17121.1
1990-12-01,17169.8
1991-03-01,17237.4
1991-06-01,17284.0
1991-09-01,17338.9
1991-12-01,17379.0
1992-03-01,17441.3
1992-06-01,17478.6
1992-09-01,17523.3
1992-12-01,17557.1
1993-03-01,17609.6
1993-06-01,17634.8
1993-09-01,17683.7
1993-12-01,17719.1
1994-03-01,17772.1
1994-06-01,17805.5
1994-09-01,17859.3
1994-12-01,17893.4
1995-03-01,17951.6
1995-06-01,18004.9
1995-09-01,18062.2
1995-12-01,18119.6
1996-03-01,18176.0
1996-06-01,18224.8
1996-09-01,18281.3
1996-12-01,18330.1
1997-03-01,18388.7
1997-06-01,18423.0
1997-09-01,18468.7
1997-12-01,18510.0
1998-03-01,18572.4
1998-06-01,18607.6
1998-09-01,18658.4
1998-12-01,18705.6
1999-03-01,18770.5
1999-06-01,18812.3
1999-09-01,18867.7
1999-12-01,18919.2
2000-03-01,18986.7
2000-06-01,19028.8
2000-09-01,19086.0
2000-12-01,19141.0
2001-03-01,19225.2
2001-06-01,19274.7
2001-09-01,19329.1
2001-12-01,19386.5
2002-03-01,19453.4
2002-06-01,19495.2
2002-09-01,19548.9
2002-12-01,19605.4
2003-03-01,19676.6
2003-06-01,19720.7
2003-09-01,19773.4
2003-12-01,19827.2
2004-03-01,19894.1
2004-06-01,19932.7
2004-09-01,19989.7
2004-12-01,20046.0
2005-03-01,20126.6
2005-06-01,20176.8
2005-09-01,20244.7
2005-12-01,20311.5
2006-03-01,20398.1
2006-06-01,20451.0
2006-09-01,20542.3
2006-12-01,20627.5
2007-03-01,20742.8
2007-06-01,20827.6
2007-09-01,20924.2
2007-12-01,21016.1
2008-03-01,21148.9
2008-06-01,21249.2
2008-09-01,21366.0
2008-12-01,21475.6
2009-03-01,21601.7
2009-06-01,21691.7
2009-09-01,21788.1
2009-12-01,21865.6
2010-03-01,21964.1
2010-06-01,22031.8
2010-09-01,22104.4
2010-12-01,22172.5
2011-03-01,22268.8
2011-06-01,22340.0
2011-09-01,22432.0
2011-12-01,22520.3
2012-03-01,22637.1
2012-06-01,22728.3
2012-09-01,22827.8
2012-12-01,22920.8
2013-03-01,23033.9
2013-06-01,23117.4
2013-09-01,23208.9
2013-12-01,23285.7
2014-03-01,23392.3
2014-06-01,23460.7
2014-09-01,23548.1
2014-12-01,23614.2
2015-03-01,23711.7
2015-06-01,23786.1
2015-09-01,23869.0
2015-12-01,23940.3
